Connacht Road Championships,19/06/2016,
Connacht Time Trial Championships,07/08/2016,
Connacht TeamTimeTrial Championships,11/09/2016,
Sligo Time Trial Championships,15/06/2016,
Maxwell Memorial,07/06/2016,
Markievicz Cup,19/03/2016,
Clogher Valley Crit,08/07/2016,
Suir Valley 3 Day,30/07/2016,
Wallace Caldwell,19/03/2016,
Red Hand Trophy,28/05/2016,
Waller Cup ,24/04/2016,
Tour of Mournes,08/05/2016,
Ras Dhun na nGall - 3 Day,03/06/2016,
Newry 3 Day,01/07/2016,
Newry Crit,01/06/2016,
Crotty Cup / Cotter Cup,14/05/2016,
An Post Rás - 8 Day,22/05/2016,
Dungarvan Open Race,03/04/2016,
PJ Logan,03/04/2016,
Hugo Loughran GP,29/04/2016,
Bann Valley Classic,10/04/2016,
SERC GP,14/08/2016,
SERC Youth 1 day,10/07/2016,
West Down GP,21/05/2016,
Clogher Valley GP,01/05/2016,
Ras Na Nog - 2 Day,16/04/2016,
Audi Grand Prix,18/06/2016,
Tommie Bourke Crit,09/07/2016,
B. Power Memorial/T. Sheehan Memorial/Landy Cup,17/03/2016,
Munster TT championships,11/06/2016,
An Caislean Nua Classic,08/05/2016,
City Centre Criterium,07/06/2016,
Foyle GP,17/07/2016,
Phoenix GP,21/02/2016,
Phoenix CC Bobby Crilly Classic,11/06/2016,
Phoenix CC Crit in the Park,17/06/2016,
Lacey Cup,28/02/2016,
Tralee Manor West GP,10/07/2016,
Darach McCarthy & Co Solicitors RR,06/03/2016,
Michael Shiels RR,05/03/2016,
Emyvale Grand Prix,22/05/2016,
Universal Graphics/Co. Monaghan Championship,22/07/2016,
John Moore Memorial,27/02/2016,
Visit Nenagh.ie TTT,16/04/2016,
Visit Nenagh.ie Classic,17/04/2016,
Tommy Givan Memorial,14/05/2016,
Naas TT,11/06/2016,
John Haldane Memorial,28/02/2016,
Ras Luimni,13/03/2016,
Donamon Grand Prix,12/06/2016,
Laugh TT,09/06/2016,
Cicli Sport Grand Prix,02/04/2016,
Des Hanlon Memorial Race,20/03/2016,
Ras Ceatharlach,28/05/2016,
Mooney Trophy,11/06/2016,
Seamus Kennedy Memorial,19/06/2016,
Moynalty Grand Prix,10/07/2016,
AmberGreen Energy Tour of Ulster - 3 Day,30/04/2016,
Dublin Wheelers Open Races,27/02/2016,
Silver Pail GP ,10/04/2016,
Cork County Road Race Championships,07/06/2016,
McCarthy Insurance Group Dan O'Donovan Memorial,07/08/2016,
Davis Cup,03/04/2016,
National Masters & Junior TT Championships,13/08/2016,
A3 / Junior National Road Championships,14/08/2016,
Barrow GP,22/05/2016,
Billy Stewart Cup,07/08/2016,
Seven Springs GP,20/03/2016,
Brian McNamara Memorial,24/07/2016,
Spires CC GP,05/03/2016,
North Down GP,21/08/2016,
Annaclone GP,20/02/2016,
John Beggs Memorial,13/08/2016,
Noel Teggart Memorial,19/06/2016,
Kerry Group Rás Mumhan - 4 Day,25/03/2016,
Danny O'Shea Memorial 10m Open ITT,16/07/2016,
National Hill Climb Championships,01/10/2016,
Eddie Tobin Memorial Road Race,03/07/2016,
Slaney Youth Races,02/07/2016,
John Holian,10/06/2016,
Tourmakeady,22/07/2016,
Ballinrobe 3 Day,30/04/2016,
Bog Man 2 Day,27/08/2016,
Bog Man Shield,27/08/2016,
St Patrick's Day Potato Race,17/03/2016,
Mid Ulster Grand Prix,24/04/2016,
Boyne GP,13/03/2016,
Peter Bidwell Memorial,16/04/2016,
Coombes Connor Memorial,17/04/2016,
Dunsany GP,07/05/2016,
Brendan Campbell Memorial Race,24/07/2016,
Ned Flanagan Memorial,14/02/2016,
Newbridge Grand Prix,06/03/2016,
Paddy Flanagan Memorial,12/06/2016,
Paddy McCormack Youth Races,12/06/2016,
